country;wave2
Albania;94
Algeria;98,3
Argentina;95,6
Bangladesh;98,9
Bosnia Herzegovina;88,8
Canada;88,6
Chile;94,3
China;91,5
India;94
Indonesia;98,8
Iran;93,2
Iraq;95,8
Japan;84,2
Jordan;84,2
South Korea;92,8
Kyrgyzstan;88,6
Mexico;96,2
Moldova;74,8
Morocco;96,4
Nigeria;96,4
Pakistan;92,9
Peru;97,4
Philippines;99
Puerto Rico;94,2
Saudi Arabia;85,9
Singapore;91,1
Vietnam;93,4
South Africa;92,6
Zimbabwe;98,9
Spain;89,4
Sweden;90,6
Turkey;88,1
Uganda;95,1
Macedonia;93,6
Egypt;90,2
Tanzania;91
United States;89,4
Venezuela;97,5
Serbia;89,1
Montenegro;87,5
