country;wave3
Andorra;92,5
Argentina;96,1
Australia;79,9
Brazil;98,7
Bulgaria;79,2
Canada;85,6
Chile;90,7
China;85,5
Taiwan;90
Cyprus;87,6
Ethiopia;98
Finland;84,8
France;92,9
Georgia;91,2
Germany;79,8
Ghana;97,7
Guatemala;99,3
Hong Kong;82,3
Hungary;86,3
India;92,9
Indonesia;96
Iran;93,3
Iraq;93,7
Italy;94,8
Japan;84,9
Jordan;86,8
South Korea;91
Malaysia;93,9
Mali;94,4
Mexico;97,5
Moldova;90,1
Morocco;96,8
Netherlands;76,6
New Zealand;82,3
Norway;92,5
Peru;94,7
Poland;86,9
Romania;88,4
Russia;79,6
Rwanda;98,7
Serbia;89,2
Vietnam;88,4
Slovenia;92,1
South Africa;91,9
Spain;87,7
Sweden;91,9
Switzerland;91,9
Thailand;91,4
Trinidad and Tobago;93,4
Turkey;86,5
Ukraine;77,8
Egypt;84,9
United Kingdom;70,8
United States;79,2
Burkina Faso;97,2
Uruguay;92
Zambia;92
